start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
84,516.2910722533617,41.66415646996407,613.0489927806,1000,0,0.2,0.9,7.0,0.27918067263931645,1052.467485345065,604.0267996113298,448.4406857337351,448.4406857337351,0.7474011428895588,8.416175842285156e-05,2.384185791015625e-07,0.07048559188842773,7.295608520507812e-05,0.003668069839477539,0
85,535.6426563588094,73.83211842660793,604.0267996113298,1000,0,0.2,0.2,8.0,0.31071169439049495,1109.3767463028303,622.7099528109387,486.66679349189155,486.66679349189155,0.811111322486485,9.72747802734375e-05,1.1920928955078125e-06,0.07025861740112305,7.605552673339844e-05,0.003711223602294922,0
86,549.3194850093136,70.0071576616896,622.7099528109387,1000,0,0.1,0.1,8.0,0.41396102223861986,1113.5512037708113,519.2174193628746,594.3337844079367,594.3337844079367,0.9905563073465622,8.416175842285156e-05,7.152557373046875e-07,0.07007265090942383,7.295608520507812e-05,0.003668546676635742,0
87,556.6585317894761,69.61158399766691,519.2174193628746,1000,0,0.9,0.1,8.0,0.2986275136825937,1027.1602243828647,554.7646902697608,472.39553411310396,472.39553411310396,0.787325890188507,8.511543273925781e-05,4.76837158203125e-07,0.07044577598571777,7.367134094238281e-05,0.003718852996826172,0
88,522.9615306055348,63.02483672216624,554.7646902697608,1000,0,0.9,0.1,8.0,0.2492763730588865,1007.9074514760732,599.0860882740383,408.82136320203495,408.82136320203495,0.6813689386700581,8.273124694824219e-05,4.76837158203125e-07,0.07072925567626953,7.43865966796875e-05,0.0037250518798828125,0
89,551.5843743033381,57.04038464659188,599.0860882740383,1000,0,0.1,0.9,8.0,0.2551369379675253,909.7779599478184,492.8948254143488,416.8831345334696,416.8831345334696,0.6948052242224501,9.72747802734375e-05,4.76837158203125e-07,0.07055139541625977,7.367134094238281e-05,0.0036814212799072266,0
90,556.3345457004082,44.18042678092628,492.8948254143488,1000,0,0.1,0.7,8.0,0.5325720650220858,975.7597881877648,277.3625297540001,698.3972584337647,698.3972584337647,1.1639954307229416,8.606910705566406e-05,4.76837158203125e-07,0.0706934928894043,7.653236389160156e-05,0.003607034683227539,0
91,549.9905736718023,53.221151814495315,277.3625297540001,1000,0,0.3,0.9,8.0,0.9982763506777105,1884.8244232937807,659.8999828450745,1224.9244404487063,1224.9244404487063,2.0415407340811775,8.225440979003906e-05,2.384185791015625e-07,0.07034659385681152,7.176399230957031e-05,0.003698587417602539,0
92,468.2021604964616,177.07778284966489,659.8999828450745,1000,0,0.9,0.1,8.0,0.9734505055182334,1931.0260629156894,632.3827242889654,1298.643338626724,1298.643338626724,2.164405564377873,9.846687316894531e-05,4.76837158203125e-07,0.07086467742919922,7.62939453125e-05,0.003756999969482422,0
93,640.7302006102132,161.28698278818453,632.3827242889654,1000,0,0.3,0.2,8.0,0.9973537366986086,1679.8118210380176,510.7041964062569,1169.1076246317607,1169.1076246317607,1.9485127077196012,8.463859558105469e-05,2.384185791015625e-07,0.07064533233642578,7.224082946777344e-05,0.0036427974700927734,0
94,638.2259577138389,130.19823291552234,510.7041964062569,1000,0,0.9,0.1,7.0,0.683089300651381,1352.6317631963366,534.9150209840178,817.7167422123188,817.7167422123188,1.3628612370205317,8.440017700195312e-05,4.76837158203125e-07,0.07087159156799316,7.367134094238281e-05,0.004006624221801758,0
95,523.4563725370151,118.45362723704594,534.9150209840178,1000,0,0.3,0.3,8.0,0.46467190774924755,1209.4848089895377,568.8606209580994,640.6241880314383,640.6241880314383,1.0677069800523977,8.463859558105469e-05,2.384185791015625e-07,0.07114100456237793,7.343292236328125e-05,0.003705263137817383,0
96,526.8939670711159,85.32385523980273,568.8606209580994,1000,0,0.3,0.1,8.0,0.45779706730650055,1177.3170471405015,542.7849871110409,634.5320600294606,634.5320600294606,1.0575534333824343,8.511543273925781e-05,4.76837158203125e-07,0.07146048545837402,7.390975952148438e-05,0.0036840438842773438,0
97,539.4839632372109,79.72913548791131,542.7849871110409,1000,0,0.1,0.4,8.0,0.2571016028281086,932.0208647231984,512.4695344907622,419.55133023243627,419.55133023243627,0.6992522170540605,8.440017700195312e-05,4.76837158203125e-07,0.07187080383300781,7.43865966796875e-05,0.0038518905639648438,0
98,539.8140656245939,49.02584988732557,512.4695344907622,1000,0,0.7,0.1,6.0,0.17558931288472035,790.3344988265594,499.84084862133585,290.49365020522356,290.49365020522356,0.4841560836753729,9.512901306152344e-05,7.152557373046875e-07,0.07200908660888672,7.295608520507812e-05,0.0037271976470947266,0
99,520.6728938309117,44.94360083260796,499.84084862133585,1000,0,0.1,0.1,8.0,0.1231679824027375,857.182687855626,681.9407374091053,175.24195044652072,175.24195044652072,0.29206991741086785,8.416175842285156e-05,2.384185791015625e-07,0.07194089889526367,7.43865966796875e-05,0.0037963390350341797,0
100,518.5896893099541,42.32412481820899,681.9407374091053,1000,0,0.9,0.6,5.0,0.1184170210476205,799.2591966653536,636.6027217925878,162.65647487276578,162.65647487276578,0.27109412478794326,8.440017700195312e-05,4.76837158203125e-07,0.07205057144165039,7.343292236328125e-05,0.003673553466796875,0
